City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,lubuklinggau,-3.3,102.8667,28.28,69,100,0.55,ID,2023-12-10
79,my tho,10.35,106.35,28.3,67,97,3.04,VN,2023-12-10
80,petrov val,50.1434,45.2096,-6.95,63,95,8.19,RU,2023-12-10
81,ishqoshim,36.7248,71.6133,-7.92,59,3,1.45,TJ,2023-12-10
82,huinan,42.6225,126.2614,-11.75,49,16,2.08,CN,2023-12-10
83,punta arenas,-53.15,-70.9167,9.06,87,100,5.14,CL,2023-12-10
84,isafjordur,66.0755,-23.124,-2.46,87,75,2.23,IS,2023-12-10
85,wanning,18.8003,110.3967,26.35,71,56,2.83,CN,2023-12-10
86,vilyuchinsk,52.9306,158.4028,2.15,98,100,8.83,RU,2023-12-10
87,corbie,49.9067,2.5068,10.07,76,20,12.35,FR,2023-12-10
88,bilibino,68.0546,166.4372,-18.4,100,98,0.76,RU,2023-12-10
89,saipan,15.1355,145.701,30.39,70,20,6.69,MP,2023-12-10
90,sanctuary point,-35.1114,150.629,23.75,92,100,3.43,AU,2023-12-10
91,weno,7.4515,151.8468,27.97,89,100,2.57,FM,2023-12-10
92,whitehorse,60.7161,-135.0538,-9.95,90,100,4.12,CA,2023-12-10
93,aasiaat,68.7098,-52.8699,-11.43,86,100,3.23,GL,2023-12-10
94,ust-nera,64.5667,143.2,-17.04,99,100,1.49,RU,2023-12-10
95,zachary,30.6485,-91.1565,21.51,89,3,2.78,US,2023-12-10
96,armacao de buzios,-22.7469,-41.8817,22.03,78,100,2.58,BR,2023-12-10
97,hit,33.6416,42.8251,16.05,52,7,2.94,IQ,2023-12-10
98,mejit,10.2753,170.8646,27.38,80,49,8.99,MH,2023-12-10
99,kavali,14.9167,79.9833,24.17,86,14,2.84,IN,2023-12-10
100,kamianske,48.5113,34.6021,0.35,98,100,3.64,UA,2023-12-10
101,lorengau,-2.0226,147.2712,27.32,85,100,6.5,PG,2023-12-10
102,mahina,-17.5065,-149.489,29.87,66,40,3.09,PF,2023-12-10
103,invercargill,-46.4,168.35,13.48,54,30,7.22,NZ,2023-12-10
104,phang nga,8.4509,98.5298,29.02,81,18,1.58,TH,2023-12-10
105,ribeira brava,32.65,-17.0667,22.06,53,8,3.23,PT,2023-12-10
106,atafu village,-8.5421,-172.5159,29.24,75,98,3.85,TK,2023-12-10
107,port lincoln,-34.7333,135.8667,13.56,89,100,11.72,AU,2023-12-10
108,kushk,33.2957,61.9522,6.68,38,0,1.04,AF,2023-12-10
